timestamp,close,close_right,close_right,close_right,close_right,close_right,close_right,close_right,close_right,close_right
2023-09-13,26210.0,1607.49,212.65,0.4827,0.2497,0.06123,0.5133,18.382,3.995,61.92
2023-09-14,26509.3,1626.42,211.95,0.4889,0.2521,0.06203,0.5238,18.827,4.056,62.75
2023-09-15,26590.3,1641.26,214.05,0.5002,0.2512,0.06247,0.5297,19.182,4.121,65.13
2023-09-16,26547.0,1634.32,214.7,0.4984,0.2502,0.06206,0.5283,19.116,4.179,65.24
2023-09-17,26515.6,1622.73,216.25,0.4913,0.2471,0.06147,0.5178,18.811,4.068,63.42
2023-09-18,26752.9,1637.28,215.95,0.5018,0.2514,0.06197,0.527,19.632,4.1,65.84
2023-09-19,27193.9,1643.44,217.15,0.5121,0.2553,0.06266,0.5444,20.008,4.147,67.21
2023-09-20,27108.5,1622.91,214.35,0.5206,0.2517,0.06259,0.5422,20.288,4.134,64.51
2023-09-21,26554.8,1583.83,210.9,0.5061,0.246,0.06125,0.5208,19.518,4.007,64.66
2023-09-22,26565.4,1593.2,211.15,0.5115,0.2452,0.06147,0.5209,19.467,4.012,64.28
2023-09-23,26563.6,1593.74,210.45,0.507,0.2462,0.06145,0.5204,19.463,4.027,65.02
2023-09-24,26238.8,1580.55,208.35,0.5019,0.2453,0.06062,0.5196,19.349,3.987,63.52
2023-09-25,26292.1,1588.35,210.15,0.5051,0.2459,0.06091,0.5192,19.392,4.062,64.3
2023-09-26,26208.8,1594.01,212.65,0.4997,0.2453,0.0606,0.5129,19.036,4.002,63.75
2023-09-27,26358.4,1598.53,212.25,0.499,0.2466,0.06047,0.5033,19.123,3.987,63.46
2023-09-28,27010.4,1652.88,215.05,0.5092,0.2497,0.06146,0.5195,19.943,4.068,65.16
2023-09-29,26893.4,1667.57,215.3,0.5212,0.2525,0.06213,0.5256,20.27,4.071,65.52
2023-09-30,26951.0,1671.19,214.75,0.5145,0.2545,0.06204,0.5326,21.356,4.1,65.93
2023-10-01,27978.8,1733.51,218.2,0.524,0.2661,0.06317,0.5683,23.883,4.213,68.12
2023-10-02,27487.0,1662.3,214.75,0.5121,0.2628,0.06199,0.5468,23.36,4.115,65.93
2023-10-03,27417.5,1657.19,213.55,0.5379,0.2611,0.06131,0.5662,23.57,4.07,65.42
2023-10-04,27761.3,1646.85,213.35,0.5322,0.2601,0.06139,0.5635,23.115,4.039,64.35
2023-10-05,27393.3,1611.5,210.85,0.5224,0.2623,0.06082,0.5446,22.661,4.017,64.76
2023-10-06,27919.2,1645.1,213.4,0.5249,0.2653,0.06133,0.5636,23.401,4.065,65.42
2023-10-07,27943.2,1634.2,212.25,0.5211,0.2585,0.06137,0.5633,23.276,4.046,65.39
2023-10-08,27905.3,1632.99,211.5,0.517,0.2569,0.06089,0.5606,23.209,4.007,65.28
2023-10-09,24740.0,1579.98,205.75,0.5021,0.2536,0.05871,0.5287,22.079,3.847,63.0
2023-10-10,27379.9,1567.87,208.5,0.4964,0.2511,0.05909,0.517,22.095,3.805,63.54
2023-10-11,26866.9,1566.93,206.6,0.4878,0.2481,0.05845,0.5142,22.001,3.701,61.48
2023-10-12,26746.2,1539.79,205.3,0.4825,0.2464,0.05784,0.5076,21.29,3.663,61.08
2023-10-13,26849.6,1552.47,206.05,0.4851,0.2481,0.05834,0.5176,21.846,3.717,61.52
2023-10-14,26839.9,1554.88,206.6,0.486,0.247,0.05982,0.5172,21.984,3.729,61.56
2023-10-15,27063.6,1557.83,209.8,0.4871,0.2472,0.05927,0.515,21.906,3.749,61.54
2023-10-16,28483.7,1599.26,214.85,0.4972,0.2532,0.05999,0.5335,24.021,3.774,63.18
2023-10-17,28384.1,1564.7,211.7,0.4909,0.2463,0.05902,0.5188,23.931,3.669,62.01
2023-10-18,28305.1,1563.66,210.45,0.4871,0.2428,0.05856,0.5102,23.399,3.65,60.16
