product_name,count
CUVÉE GROUP,1
D.O. 5 HISPANOBODEGAS,1
D.O. BIERZO,1
D.O. NAVARRA - NAVARRA WINE,1
D.O.P. BULLAS,1
D.O.P. Sierra de Salamanca,1
D.O. RIBEIRO,1
D.O. TIERRA DEL VINO DE ZAMORA,1
D.O ARLANZA,1
DALT TURÓ,1
Dani MABE. Bodega,1
DASCA VIVES,1
DECANTER,1
DEHESA EL CARRASCAL,1
DELAESTRELLA GRUPO,1
DEL ÁLAMO FAMILY VINEYARDS | BIO & VEGAN,1
DELAUVIN BODEGAS,1
DE MOYA,1
DE MULLER,1
DE NARIZ,1
DENOMINACIÓ D'ORIGEN COSTERS DEL SEGRE,1
DENOMINACIÓN DE ORIGEN ARRIBES,1
DENOMINACIÓN DE ORIGEN CIGALES,1
DENOMINACIÓN DE ORIGEN PROTEGIDA YECLA,1
DESACATO,1
DIPUTACION DE BURGOS - BURGOS ALIMENTA,1
DIPUTACIÓN DE MÁLAGA,1
DIPUTACION PROVINCIAL DE HUELVA,1
DIPUTACION PROVINCIAL DE SORIA,1
DIVINO DUERO,1
DO ALELLA,1
DO ALMANSA,1
DOBLEDEPEREZ MICROBODEGA,1
DO CATALUNYA,1
DO CONCA DE BARBERÀ,1
DO EMPORDÀ,1
DO LEÓN,1
DOMAINE CANADELL SANCHEZ,1
DOMAINE GAUBY,1
DO MANCHUELA,1
DOMENIO,1
DOMINIO BASCONCILLOS,1
DOMINIO DE ANZA,1
DOMINIO DE CALOGÍA,1
DOMINIO DE ECHAUZ,1
DOMINIO DE LAS ANIMAS SL,1
DOMINIO DE LA VEGA,1
DOMINIO DEL BIENAMADO,1
Dominio del Challao,1
DOMINIO DEL PIDIO,1
DOMINIO DE MONTELAHORRA,1
DOMINIO DE TARES,1
DOMINIO DE VALDEFRADAS,1
DOMINIO DO BIBEI,1
DOMINIOS DE MGP,1
DO MONTSANT,1
DON BERNARDINO,1
DONIENE GORRONDONA TXAKOLINA,1
DON SANCHO DE LONDOÑO Bodegas,1
DOP DEHESA PEÑALBA - BODEGAS VIZAR,1
DOP JUMILLA,1
DO Pla de Bages,1
DOQ PRIORAT,1
Dosterras,1
DO TARRAGONA,1
DO TERRA ALTA,1
EDETÀRIA,1
EDUARDO GARZA,1
EDUARDO PEÑA,1
EGO BODEGAS S.L.U.,1
EGUREN UGARTE,1
EL BUNKER BODEGAS Y VIÑEDOS,1
EL CAPRICHO BODEGAS GORDON,1
