timestamp,open,high,low,close,volume,turnover
1642737600000,38455.0,38855.0,38436.5,38787.5,338.42,13116164.8485
1642738500000,38787.5,38845.0,38613.0,38799.0,58.517,2269136.163
1642739400000,38799.0,39061.0,38684.0,38836.0,50.341,1957503.2095
1642740300000,38836.0,38885.0,38783.5,38792.0,57.879,2247089.05
1642741200000,38792.0,38940.0,38687.5,38768.0,84.972,3296483.8815
1642742100000,38768.0,38842.0,38731.5,38791.0,60.394,2341965.838
1642743000000,38791.0,38948.5,38758.0,38901.0,228.853,8904547.7415
1642743900000,38901.0,38971.5,38881.0,38890.0,47.882,1864470.2675
1642744800000,38890.0,38907.5,38806.0,38810.0,54.16,2105076.888
1642745700000,38810.0,38841.5,38713.5,38774.5,46.937,1820075.218
1642746600000,38774.5,38775.0,38590.5,38650.5,214.389,8290163.6485
1642747500000,38650.5,38754.5,38575.0,38711.5,66.205,2561113.083
1642748400000,38711.5,38797.5,38574.0,38797.5,98.134,3795606.685
1642749300000,38797.5,38870.0,38756.5,38844.0,139.509,5417988.97
1642750200000,38844.0,38897.0,38751.0,38889.0,33.896,1314815.335
1642751100000,38889.0,39159.5,38873.5,39119.0,160.226,6260322.27
1642752000000,39119.0,39259.5,39019.5,39158.5,315.786,12376192.88
1642752900000,39158.5,39158.5,39004.5,39129.0,46.359,1811344.66
1642753800000,39129.0,39188.0,39085.5,39121.0,119.052,4658989.3595
1642754700000,39121.0,39192.0,39009.0,39147.5,42.653,1668916.703
1642755600000,39147.5,39150.5,38921.5,38987.5,37.361,1457756.8795
1642756500000,38987.5,39087.0,38932.5,39024.0,174.068,6789420.443
1642757400000,39024.0,39078.5,38957.0,38992.5,55.689,2174572.413
1642758300000,38992.5,39076.5,38983.5,38985.5,26.036,1016159.63
1642759200000,38985.5,39027.5,38859.0,38997.5,85.621,3333535.919
1642760100000,38997.5,39053.5,38925.0,39019.0,212.691,8289377.057
1642761000000,39019.0,39067.0,38919.0,38944.5,192.628,7507881.244
1642761900000,38944.5,39026.5,38880.0,38953.0,248.178,9674378.779
1642762800000,38953.0,38955.5,38766.5,38803.0,61.327,2383239.911
1642763700000,38803.0,38838.0,38674.0,38837.0,334.153,12948675.68
1642764600000,38837.0,38874.0,38677.0,38863.5,65.132,2524144.3075
1642765500000,38863.5,38906.5,38790.0,38877.0,97.527,3788976.306
1642766400000,38877.0,38925.5,38507.5,38588.0,169.371,6544005.2475
1642767300000,38588.0,38720.5,38466.0,38535.5,105.161,4060425.6465
1642768200000,38535.5,38535.5,37680.5,37991.0,752.218,28656947.071
1642769100000,37991.0,38258.0,37877.0,38183.5,209.428,7971262.5405
1642770000000,38183.5,38522.0,38178.5,38405.5,255.36,9792419.627
1642770900000,38405.5,38494.0,38307.0,38408.5,140.934,5409753.7525
1642771800000,38408.5,38668.5,38141.5,38636.5,224.042,8600629.481
1642772700000,38636.5,38742.5,38439.0,38472.5,152.166,5867053.4855
1642773600000,38472.5,38538.5,38273.0,38349.5,118.088,4531142.316
1642774500000,38349.5,38576.0,38250.5,38575.5,192.921,7408485.931
1642775400000,38575.5,38864.5,38387.5,38387.5,174.159,6731474.0345
1642776300000,38387.5,38630.0,38293.0,38391.5,173.05,6651508.9615
1642777200000,38391.5,38526.5,38251.5,38354.0,69.149,2652622.2255
1642778100000,38354.0,38563.0,38109.5,38487.5,250.193,9567379.2315
1642779000000,38487.5,38874.0,38431.0,38768.5,158.713,6135700.082
1642779900000,38768.5,39034.0,38677.5,38824.0,290.083,11303085.42
1642780800000,38824.0,38917.5,38704.0,38729.5,146.078,5663410.192
1642781700000,38729.5,39057.5,38706.5,38933.5,156.073,6075048.121
1642782600000,38933.5,38933.5,38641.0,38672.5,114.292,4429067.791
1642783500000,38672.5,38764.5,38500.0,38718.5,158.675,6131998.892
1642784400000,38718.5,38743.0,38427.0,38445.0,96.889,3737720.3725
1642785300000,38445.0,38523.0,38354.5,38481.0,169.51,6515307.0145
1642786200000,38481.0,38562.5,38232.5,38347.5,204.279,7838248.684
1642787100000,38347.5,38399.0,38290.0,38374.0,30.98,1187548.028
1642788000000,38374.0,38616.0,38365.5,38562.0,139.165,5356430.3555
1642788900000,38562.0,38583.5,38067.0,38171.0,89.351,3413840.71
1642789800000,38171.0,38489.5,37766.0,38384.0,157.717,6035778.7065
1642790700000,38384.0,38458.0,38233.0,38269.5,81.276,3117534.994
1642791600000,38269.5,38420.5,38246.0,38323.5,67.371,2580491.9935
1642792500000,38323.5,38495.0,38187.0,38222.5,205.152,7876974.1675
1642793400000,38222.5,38283.5,38012.0,38196.0,160.053,6108155.7845
1642794300000,38196.0,38288.5,37942.0,37951.0,77.098,2939665.098
1642795200000,37951.0,38165.0,37491.0,37637.0,262.755,9923333.1925
1642796100000,37637.0,38094.5,37620.5,37759.5,319.862,12110545.336
1642797000000,37759.5,38390.5,37758.5,38225.0,161.565,6164443.564
1642797900000,38225.0,38454.0,37928.0,38385.0,49.122,1871866.66
